Squad,MP,W,D,L,GF,GA,GD,Pts
Bengaluru,114,55,24,35,171,129,42,189
Chennaiyin,156,50,47,59,211,232,-21,197
Delhi Dynamos,78,24,26,28,111,115,-4,98
East Bengal,60,10,17,33,62,107,-45,47
Goa,156,67,40,49,285,221,64,241
Hyderabad FC,78,32,23,23,127,97,30,119
Jamshedpur,114,42,34,38,151,149,2,160
Kerala Blasters,156,48,51,57,196,223,-27,195
Kolkata,96,35,31,30,125,112,13,136
Mohun Bagan,60,32,15,13,89,58,31,111
Mumbai City,156,72,35,49,244,203,41,251
NorthEast Utd,156,38,45,73,169,248,-79,159
Odisha,78,24,18,36,114,150,-36,90
Pune City,78,27,18,33,96,107,-11,99
